re,AppID,URL,Game Title,Release Date,AI Disclosure Type,Disclosure Clarity,Launch Base Price (USD),First Price Change Date,Price Adjustment Count,Current Base Price (USD),Price Tier,Dev Tier,Macro Genre,Is_Multiplayer,Is_Early_Access,Global Review Count,Global Rating %,Mean_Sentiment_Score,Reviews_Analyzed,Positive_Sentiment_Ratio,Theme_AI_Ratio,Theme_Scam_Ratio,Theme_Tech_Ratio,Is_AI_Cohort,Unnamed: 0
Game 52,1842470,https://store.steampowered.com/app/1842470/DeathOmen/,DeathOmen,2025-02-05 00:00:00,1,1,6.99,0,0,6.99,1,1,1,1,0,116,72.98,0.3623384615384615,26,0.6538461538461539,0.0,0.0,0.0384615384615384,1,
Game 53,3355800,https://store.steampowered.com/app/3355800/Bank_Simulator/,Bank Simulator,2025-06-06 00:00:00,1,1,14.99,0,0,14.99,1,1,3,1,1,387,69.28,0.4924025,160,0.8,0.0,0.0125,0.1375,1,
Game 54,3098470,https://store.steampowered.com/app/3098470/Arctic_Motel_Simulator/,Arctic Motel Simulator,2025-02-11 00:00:00,1,1,17.99,0,0,17.99,2,1,3,1,0,474,82.39,0.5836668789808918,157,0.8280254777070064,0.0063694267515923,0.0063694267515923,0.0764331210191082,1,
Game 55,2786550,https://store.steampowered.com/app/2786550/CURE__A_Hospital_Simulator/,CURE - A Hospital Simulator,2025-11-20 00:00:00,3,1,7.99,2026-05-15 00:00:00,1,9.99,1,1,3,2,1,922,82.53,0.5845363333333333,300,0.85,0.0066666666666666,0.0,0.1166666666666666,1,
Game 56,4026480,https://store.steampowered.com/app/4026480/Cafe_Business_Manager/,Cafe Business Manager,2026-04-10 00:00:00,4,1,14.99,0,0,14.99,1,1,3,1,1,357,81.03,0.6236548076923077,104,0.8557692307692307,0.0096153846153846,0.0,0.1538461538461538,1,
Game 57,4243690,https://store.steampowered.com/app/4243690/Chained_Wheels/,Chained Wheels,2026-03-27 00:00:00,1,1,4.99,0,0,4.99,1,1,3,2,0,718,66.57,0.4554946341463415,205,0.7268292682926829,0.0097560975609756,0.0,0.0829268292682926,1,
Game 58,3079970,https://store.steampowered.com/app/3079970/Airport_XRay_Simulator/,Airport X-Ray Simulator,2024-12-12 00:00:00,1,1,14.99,2024-12-27 00:00:00,1,12.99,1,1,3,1,1,274,76.2,0.5255470967741935,155,0.7870967741935484,0.0387096774193548,0.0258064516129032,0.1161290322580645,1,
Game 59,1442430,https://store.steampowered.com/app/1442430/Storage_Hunter_Simulator/,Storage Hunter Simulator,2025-11-27 00:00:00,1,1,24.99,2025-03-04 00:00:00,2,24.99,2,1,3,2,1,4144,75.84,0.427744,300,0.7333333333333333,0.0333333333333333,0.0133333333333333,0.1566666666666666,1,
Game 60,2453920,https://store.steampowered.com/app/2453920/Amygdala/,Amygdala,2024-03-15 00:00:00,1,1,9.94,2024-07-29 00:00:00,1,6.66,1,1,1,1,0,191,68.93,0.4059576,125,0.712,0.064,0.0,0.232,1,
Game 61,3098140,https://store.steampowered.com/app/3098140/Crown_and_Adventure/,Crown And Adventure,2025-10-23 00:00:00,3,1,19.99,0,0,19.99,2,1,2,1,0,1713,60.41,0.41489,300,0.73,0.0433333333333333,0.0,0.1766666666666666,1,
Game 62,2928280,https://store.steampowered.com/app/2928280/Crime_Simulator_Playgrounds/,Crime Simulator: Playgrounds,2024-05-10 00:00:00,1,2,4.99,2025-05-06 00:00:00,2,1.99,1,1,1,2,0,2135,70.6,0.194140350877193,57,0.4912280701754385,0.0175438596491228,0.0175438596491228,0.0350877192982456,1,
Game 63,2844700,https://store.steampowered.com/app/2844700/Doki_Doki_AI_Interrogation/,Doki Doki AI Interrogation,2024-05-25 00:00:00,2,1,3.49,0,0,3.49,1,1,4,1,0,514,76.87,0.162751724137931,58,0.5172413793103449,0.3793103448275862,0.0,0.0,1,
Game 64,4746070,https://store.steampowered.com/app/4746070/Eldara/,Eldara,2026-06-15 00:00:00,1,1,10.0,2026-08-20 00:00:00,1,7.5,1,1,2,1,1,205,79.03,0.5324023622047244,127,0.7795275590551181,0.1259842519685039,0.0,0.1102362204724409,1,
Game 65,3751730,https://store.steampowered.com/app/3751730/Loan_Shark/,Loan Shark,2025-08-08 00:00:00,4,1,3.99,0,0,3.99,1,1,1,1,0,685,79.94,0.356928,300,0.6666666666666666,0.0,0.0066666666666666,0.0566666666666666,1,
Game 66,2871390,https://store.steampowered.com/app/2871390/Poly_TD/,Poly TD,2026-01-30 00:00:00,1,1,7.99,0,0,7.99,1,1,3,1,0,575,76.31,0.5512781818181818,55,0.8181818181818182,0.0,0.0,0.1636363636363636,1,
Game 67,1812450,https://store.steampowered.com/app/1812450/Bellwright/,Bellwright,2024-04-23 00:00:00,1,1,29.99,0,0,29.99,2,2,2,2,1,21203,78.75,0.3438933333333333,300,0.6933333333333334,0.1266666666666666,0.0066666666666666,0.19,1,
Game 68,3036010,https://store.steampowered.com/app/3036010/Coin_Push_RPG/,推币勇者 · Coin Push RPG,2025-05-23 00:00:00,1,1,9.99,0,0,9.99,1,1,4,1,0,760,73.43,0.5050954128440367,109,0.7522935779816514,0.0458715596330275,0.0,0.0458715596330275,1,
Game 69,2075100,https://store.steampowered.com/app/2075100/Chernobylite_2_Exclusion_Zone/,Chernobylite 2: Exclusion Zone,2025-03-06 00:00:00,2,1,39.99,0,0,39.99,3,1,1,1,1,756,62.92,0.457091592920354,226,0.7654867256637168,0.1327433628318584,0.0309734513274336,0.2964601769911504,1,
